,year,month,day,hour,PM2.5,temperature,pressure,rain,wind_speed,wind_direction
1,2013.0,3.0,1.0,2.0,7.0,271.9,1023.5,0.0,1.569267569146752,6
2,2013.0,3.0,1.0,3.0,6.0,271.6,1024.5,0.0,3.1,7
3,2013.0,3.0,1.0,4.0,3.0,271.0,1025.2,0.0,2.0,3
4,2013.0,3.0,1.0,5.0,5.0,270.8,1025.6,0.0,3.7,3
5,2013.0,3.0,1.0,6.0,3.0,270.4,1026.5,0.0,2.5,5
6,2013.0,3.0,1.0,7.0,3.0,271.4,1027.4,0.0,3.8,6
7,2013.0,3.0,1.0,8.0,3.0,273.1,1028.3,0.0,4.1,6
8,2013.0,3.0,1.0,9.0,3.0,274.2,1028.5,0.0,2.6,3
9,2013.0,3.0,1.0,10.0,3.0,274.9,1028.2,0.0,3.6,6
10,2013.0,3.0,1.0,11.0,3.0,275.6723513184905,1028.2,0.0,1.569267569146752,3
11,2013.0,3.0,1.0,12.0,3.0,276.9,1027.3,0.0,1.569267569146752,6
12,2013.0,3.0,1.0,13.0,3.0,278.3,1026.2,0.0,1.569267569146752,7
13,2013.0,3.0,1.0,14.0,6.0,279.0,1025.9,0.0,1.569267569146752,7
14,2013.0,3.0,1.0,15.0,8.0,279.2,1025.7,0.0,2.8,5
15,2013.0,3.0,1.0,16.0,9.0,278.9,1025.6,0.0,3.9,6
16,2013.0,3.0,1.0,17.0,10.0,277.3,1026.3,0.0,2.8,5
17,2013.0,3.0,1.0,18.0,11.0,276.1,1027.4,0.0,2.1,5
18,2013.0,3.0,1.0010928984592866,19.0,8.0,275.3,1028.3,0.0,2.8,4
19,2013.0,3.0,1.0,20.0,11.0,274.7,1029.1,0.0,2.1,3
20,2013.0,3.0,1.0,21.0,12.0,273.6,1030.1,0.0,0.8,1
21,2013.0,3.0,1.0,22.0,18.0,273.9,1030.5,0.0,1.8,1
22,2013.0,3.0,1.0,23.0,24.0,272.8,1030.5,0.0,1.4,1
23,2013.0,3.0,2.0,0.0,22.0,272.6,1031.0,0.0,1.4,1
24,2013.0,3.0,2.0,1.0,14.0,272.0,1031.3,0.0,1.1,5
25,2013.0,3.0,2.0,2.0,13.0,271.5,1030.9,0.0,1.7,0
26,2013.0,3.0,2.0,3.0,3.0,271.6,1030.6,0.0,1.4,5
27,2013.0,3.0,2.0,4.0,3.0,271.5,1030.8,0.0,0.9,6
28,2013.0,3.0,2.0,5.0,9.0,271.2,1030.1,0.0,2.0,5
29,2013.0,3.0,2.0,6.0,4.0,270.5,1029.6,0.0,0.7,7
30,2013.0,3.0,2.0,7.0,3.0,271.3,1029.8,0.0,1.2,4
31,2013.0,3.0,2.0,8.0,3.0,272.6,1029.6,0.0,1.8,4
32,2013.0,3.0,2.0,9.0,10.0,273.6,1029.7,0.0,1.7,4
33,2013.0,3.0,2.0,10.0,11.0,274.7,1028.9,0.0,1.6,13
34,2013.0,3.0,2.0,11.0,18.0,275.2,1028.2,0.0,3.1,11
35,2013.0,3.0,2.0,12.0,26.0,275.7,1027.3,0.0,2.7,15
36,2013.0,3.0,2.0,13.0,25.0,276.3,1025.7,0.0,1.5,13
37,2013.0,3.0,2.0,14.0,26.0,276.8,1024.8,0.0,1.3,9
38,2013.0,3.0,2.0,15.0,37.0,276.9,1024.1,0.0,1.2,14
39,2013.0,3.0,2.0,16.0,37.0,276.5,1023.6,0.0,2.5,15
40,2013.0,3.0,2.0,17.0,44.0,275.2,1023.4,0.0,0.4,10
41,2013.0,3.0,2.0,18.0,54.0,274.2,1023.2,0.0,0.9,13
42,2013.0,3.0,2.0,19.0,61.0,274.5,1022.9,0.0,1.2,4
43,2013.0,3.0,2.0,20.0,67.0,274.2,1022.9,0.0,1.2,5
44,2013.0,3.0,2.0,21.0,74.0,273.6,1022.6,0.0,1.3,4
45,2013.0,3.0,2.0,22.0,81.0,272.4,1022.3,0.0,1.4,5
46,2013.0,3.0,2.0,23.0,93.0,272.2,1021.1,0.0,1.3,3
47,2013.0,3.0,3.0,0.0,112.0,271.6,1020.4,0.0,1.2,5
48,2013.0,3.0,3.0,1.0,109.0,271.0,1019.4,0.0,1.2,4
49,2013.0,3.0,3.0,2.0,110.0,270.2,1018.3,0.0,1.4,4
50,2013.0,3.0,3.0,3.0,105.0,270.4,1017.2,0.0,1.2,4
51,2013.0,3.0,3.0,4.0,106.0,268.7,1016.9,0.0,0.9,5
52,2013.0,3.0,3.0,5.0,101.0,267.4,1016.3,0.0,0.8,3
53,2013.0,3.0,3.0,6.0,91.0,267.2,1016.2,0.0,0.8,5
54,2013.0,3.0,3.0,7.0,79.0,269.9,1016.5,0.0,1.5,4
55,2013.0,3.0,3.0,8.0,77.0,273.7,1016.2,0.0,2.3,5
56,2013.0,3.0,3.0,9.0,83.0,276.5,1015.8,0.0,0.4,5
57,2013.0,3.0,3.0,10.0,94.0,279.5,1014.9,0.0,1.3,3
58,2013.0,3.0,3.0,11.0,96.0,284.4,1013.8,0.0,0.9,2
59,2013.0,3.0,3.0,12.0,91.0,286.8,1012.5,0.0,1.1,13
60,2013.0,3.0,3.0,13.0,98.0,289.0,1011.5,0.0,1.569267569146752,13
61,2013.0,3.0,3.0,14.0,72.0,289.7,1010.8,0.0,1.569267569146752,14
62,2013.0,3.0,3.0,15.0,48.0,289.9,1010.5,0.0,2.0,14
63,2013.0,3.0,3.0,16.0,28.0,289.4,1010.6,0.0,2.9,7
64,2013.0,3.0,3.0,17.0,26.0,286.1,1011.1,0.0,1.7,15
65,2013.0,3.0,3.0,18.0,24.0,281.7,1012.3,0.0,1.6,7
66,2013.0,3.0,3.0,19.0,19.0,285.2,1013.4,0.0,2.0,6
67,2013.0,3.0,3.0,20.0,60.0,284.7,1013.5,0.0,0.9,3
68,2013.0,3.0,3.0,21.0,117.0,278.3,1013.6,0.0,0.0,3
69,2013.0,3.0,3.0,22.0,54.0,276.1,1014.1,0.0,1.8,5
70,2013.0,3.0,3.0,23.0,46.0,278.2,1014.8,0.0,1.7,6
71,2013.0,3.0,4.0,0.0,42.0,280.7,1015.7,0.0,2.6,3
72,2013.0,3.0,4.0,1.0,49.0,281.2,1016.7,0.0,2.8,3
73,2013.0,3.0,4.0,2.0,34.0,281.1,1016.7,0.0,1.569267569146752,3
74,2013.0,3.0,4.0,3.0,12.0,280.2,1016.9,0.0,2.8,3
75,2013.0,3.0,4.0,4.0,7.0,279.0,1018.0,0.0,1.0,6
76,2013.0,3.0,4.0,5.0,10.0,275.7,1018.6,0.0,0.5,10
77,2013.0,3.0,4.0,6.0,13.0,276.8,1018.9,0.0,2.3,3
78,2013.0,3.0,4.0,7.0,14.0,279.5,1019.7,0.0,2.3,3
79,2013.0,3.0,4.0,8.0,13.0,282.0,1020.7,0.0,3.1,4
80,2013.0,3.0,4.0,9.0,15.0,283.6,1020.8,0.0,1.3,5
81,2013.0,3.0,4.0,10.0,16.0,284.9,1020.4,0.0,2.1,4
82,2013.0,3.0,4.0,11.0,18.0,286.1,1020.0,0.0,3.0,4
83,2013.0,3.0,4.0,12.0,13.0,287.2,1018.9,0.0,2.7,3
84,2013.0,3.0,4.0,13.0,3.0,288.3,1017.8,0.0,2.0,8
85,2013.0,3.0,4.0,14.0,3.0,288.2,1017.0,0.0,0.7,12
86,2013.0,3.0,4.0,15.0,10.0,288.3,1016.3,0.0,2.4,11
87,2013.0,3.0,4.0,16.0,14.0,287.5,1015.7,0.0,2.6,8
88,2013.0,3.0,4.0,17.0,20.0,285.7,1015.9,0.0,2.6,12
89,2013.0,3.0,4.0,18.0,25.0,284.6,1016.5,0.0,3.4,11
90,2013.0,3.0,4.0,19.0,31.0,283.9,1016.6,0.0,3.5,12
91,2013.0,3.0,4.0,20.0,34.0,282.9,1016.9,0.0,3.1,11
92,2013.0,3.0,4.0,21.0,40.0,281.4,1016.9,0.0,2.1,11
93,2013.0,3.0,4.0,22.0,51.0,281.6,1016.3,0.0,2.4,11
94,2013.0,3.0,4.0,23.0,58.0,280.7,1015.7,0.0,2.1,12
95,2013.0,3.0,5.0,0.0,71.0,277.7,1015.2,0.0,1.6,12
96,2013.0,3.0,5.0,1.0,91.0,274.1,1014.7,0.0,0.0,12
97,2013.0,3.0,5.0,2.0,100.0,272.4,1014.4,0.0,0.0,8
98,2013.0,3.0,5.0,3.0,103.0,273.2,1014.0,0.0,1.2,4
99,2013.0,3.0,5.0,4.0,115.0,274.8,1013.7,0.0,1.5,4
100,2013.0,3.0,5.0,5.0,117.0,273.6,1013.9,0.0,0.8,3
101,2013.0,3.0,5.0,6.0,104.0,272.8,1013.4,0.0,1.3,4
102,2013.0,3.0,5.0,7.0,106.0,275.9,1013.4,0.0,1.3,5
103,2013.0,3.0,5.0,8.0,111.0,278.1,1013.4,0.0,1.2,5
104,2013.0,3.0,5.0,9.0,114.0,280.7,1012.8,0.0,1.5,5
105,2013.0,3.0,5.0,10.0,131.0,282.4,1012.0,0.0,1.5,4
106,2013.0,3.0,5.0,11.0,138.0,283.6,1011.1,0.0,1.4,5
107,2013.0,3.0,5.0,12.0,142.0,284.9,1009.7,0.0,1.3,6
108,2013.0,3.0,5.0,13.0,163.0,285.6,1008.5,0.0,1.0,3
109,2013.0,3.0,5.0,14.0,168.0,286.5,1007.7,0.0,1.4,5
110,2013.0,3.0,5.0,15.0,165.0,286.8,1007.2,0.0,1.2,4
111,2013.0,3.0,5.0,16.0,166.0,286.2,1007.1,0.0,2.0,4
112,2013.0,3.0,5.0,17.0,190.0,285.1,1007.7,0.0,1.6,5
123,2013.0,3.0,6.0,4.0,192.0,276.9,1007.3,0.0,1.4,4
124,2013.0,3.0,6.0,5.0,188.0,277.1,1007.8,0.0,1.6,4
125,2013.0,3.0,6.0,6.0,186.0,277.5,1008.4,0.0,2.0,4
126,2013.0,3.0,6.0,7.0,188.0,278.7,1009.3,0.0,1.7,4
127,2013.0,3.0,6.0,8.0,194.0,279.6,1009.3,0.0,1.7,4
128,2013.0,3.0,6.0,9.0,184.0,280.5,1009.1,0.0,1.7,4
129,2013.0,3.0,6.0,10.0,175.0,281.7,1008.6,0.0,1.5,4
130,2013.0,3.0,6.0,11.0,179.0,283.1,1007.7,0.0,1.4,4
131,2013.0,3.0,6.0,12.0,192.0,284.1,1006.9,0.0,0.4,1
179,2013.0,3.0,8.0,12.0,104.0,294.7,999.4,0.0,3.0,8
180,2013.0,3.0,8.0,13.0,121.0,295.5,998.2,0.0,3.3,8
181,2013.0,3.0,8.0,14.0,184.0,290.4,998.3,0.0,1.569267569146752,2
183,2013.0,3.0,8.0,16.0,172.0,284.9,1000.2,0.0,2.6,2
184,2013.0,3.0,8.0,17.0,114.0,283.3,999.9,0.0,2.8,9
185,2013.0,3.0,8.0,18.0,82.0,282.3,1000.6,0.0,1.4,8
186,2013.0,3.0,8.0,19.0,84.0,281.0,1000.5,0.0,0.8,4
187,2013.0,3.0,8.0,20.0,91.0,280.9,1000.4,0.0,1.4,11
188,2013.0,3.0,8.0,21.0,81.0,280.2,1000.0,0.0,1.6,1
189,2013.0,3.0,8.0,22.0,90.0,279.3,999.0,0.0,0.9,0
190,2013.0,3.0,8.0,23.0,79.0,278.7,997.7,0.0,1.0,11
191,2013.0,3.0,9.0,0.0,49.0,276.6,996.1,0.0,0.6,13
192,2013.0,3.0,9.0,1.0,89.0,275.1,994.9,0.0,1.1,13
193,2013.0,3.0,9.0,2.0,89.0,274.4,994.1,0.0,0.0,3
194,2013.0,3.0,9.0,3.0,98.0,274.1,993.0,0.0,1.4,4
195,2013.0,3.0,9.0,4.0,97.0,274.8,992.0,0.0,0.0,0
196,2013.0,3.0,9.0,5.0,102.0,276.2,992.0,0.0,1.3,4
197,2013.0,3.0,9.0,6.0,110.0,275.8,992.2,0.0,1.0,4
198,2013.0,3.0,9.0,7.0,108.0,277.6,992.9,0.0,1.8,4
199,2013.0,3.0,9.0,8.0,104.0,281.4,994.1,0.0,2.6,0
200,2013.0,3.0,9.0,9.0,113.0,289.3,995.9,0.0,3.3,6
201,2013.0,3.0,9.0,10.0,145.0,289.7,998.3,0.0,1.569267569146752,6
202,2013.0,3.0,9.0,11.0,69.0,287.3,1001.3,0.0,1.569267569146752,6
203,2013.0,3.0,9.0,12.0,78.0,285.4,1004.3,0.0,1.569267569146752,7
204,2013.0,3.0,9.0,13.0,49.0,283.3,1006.5,0.0,1.569267569146752,6
205,2013.0,3.0,9.0,14.0,47.0,283.5,1008.1,0.0,1.569267569146752,6
206,2013.0,3.0,9.0,15.0,28.0,283.2,1009.4,0.0,3.9,3
207,2013.0,3.0,9.0,16.0,21.0,283.5,1010.8,0.0,1.569267569146752,3
208,2013.0,3.0,9.0,17.0,14.0,281.6,1013.0,0.0,1.569267569146752,5
209,2013.0,3.0,9.0,18.0,17.0,280.4,1015.9,0.0,1.569267569146752,5
210,2013.0,3.0,9.0,19.0,15.0,279.4,1018.1,0.0,3.5,3
211,2013.0,3.0,9.0,20.0,18.0,278.6,1019.7,0.0,1.569267569146752,3
212,2013.0,3.0,9.0,21.0,12.0,277.8,1020.3,0.0,3.3,3
213,2013.0,3.0,9.0,22.0,11.0,276.8,1021.2,0.0,1.2,5
214,2013.0,3.0,9.0,23.0,6.0,273.8,1021.3,0.0,0.6,10
215,2013.0,3.0,10.0,0.0,11.0,272.5,1020.8,0.0,0.0,3
216,2013.0,3.0,10.0,1.0,11.0,272.8,1021.1,0.0,1.0,13
217,2013.0,3.0,10.0,2.0,6.0,270.9,1020.9,0.0,0.7,5
218,2013.0,3.0,10.0,3.0,10.0,271.0,1021.1,0.0,1.2,6
219,2013.0,3.0,10.0,4.0,18.0,271.7,1021.9,0.0,0.0,5
220,2013.0,3.0,10.0,5.0,21.0,271.2,1022.0,0.0,1.7,13
221,2013.0,3.0,9.999967828073043,6.0,18.0,271.0,1022.5,0.0,0.0,3
222,2013.0,3.0,10.0,7.0,24.0,276.5,1023.2,0.0,2.3,11
223,2013.0,3.0,10.0,8.0,31.0,278.3,1023.5,0.0,1.569267569146752,12
224,2013.0,3.0,10.0,9.0,26.0,279.8,1023.1,0.0,1.569267569146752,11
225,2013.0,3.0,10.0,10.0,27.0,281.3,1022.4,0.0,1.569267569146752,11
226,2013.0,3.0,10.0,11.0,30.0,282.8,1021.9,0.0,2.7,8
227,2013.0,3.0,10.0,12.0,28.0,283.4,1021.0,0.0,0.4,11
228,2013.0,3.0,10.0,13.0,34.0,284.2,1020.0,0.0,2.8,8
